,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
163,25.35152087211609,1.7726060489571562,0.1028059959411621,0.03845047569007006,squared_error,0.5,5,0.3,10,60,600,"{'criterion': 'squared_error', 'learning_rate': 0.5, 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 10, 'min_samples_split': 60, 'n_estimators': 600}",0.9558823529411765,0.9529411764705882,0.95,0.9558823529411765,0.9588235294117647,0.9547058823529412,0.0029994232432899105,1,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
195,39.02526388168335,1.8398161536365127,0.1464017391204834,0.06838368019512682,squared_error,0.5,5,0.4,10,80,500,"{'criterion': 'squared_error', 'learning_rate': 0.5, 'max_depth': 5, 'max_features': 0.4, 'min_samples_leaf': 10, 'min_samples_split': 80, 'n_estimators': 500}",0.9588235294117647,0.9441176470588235,0.95,0.9558823529411765,0.961764705882353,0.9541176470588235,0.006335488008393561,2,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
106,30.014349460601807,0.815874813634666,0.1343851089477539,0.012609500328529874,squared_error,0.3,5,0.3,20,80,600,"{'criterion': 'squared_error', 'learning_rate': 0.3, 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 20, 'min_samples_split': 80, 'n_estimators': 600}",0.9647058823529412,0.9470588235294117,0.9411764705882353,0.9588235294117647,0.9588235294117647,0.9541176470588235,0.008645257915705355,2,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
4,32.766298341751096,0.7609930583532553,0.1256711483001709,0.07216495690566802,squared_error,0.1,5,0.3,10,70,600,"{'criterion': 'squared_error', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 10, 'min_samples_split': 70, 'n_estimators': 600}",0.9588235294117647,0.9470588235294117,0.9411764705882353,0.9558823529411765,0.961764705882353,0.9529411764705882,0.0076696498884737275,4,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
101,32.60186276435852,1.6626366423565562,0.1383763313293457,0.008157087230035085,squared_error,0.3,5,0.3,20,60,700,"{'criterion': 'squared_error', 'learning_rate': 0.3, 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 20, 'min_samples_split': 60, 'n_estimators': 700}",0.9558823529411765,0.9470588235294117,0.9470588235294117,0.9588235294117647,0.9558823529411765,0.9529411764705882,0.004921529567847539,4,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
8,38.29113097190857,0.5819722611108069,0.1305464744567871,0.06510766449115821,squared_error,0.1,5,0.3,10,80,700,"{'criterion': 'squared_error', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 10, 'min_samples_split': 80, 'n_estimators': 700}",0.961764705882353,0.9411764705882353,0.9441176470588235,0.9558823529411765,0.961764705882353,0.9529411764705882,0.008724939396583154,4,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
105,26.463634967803955,0.8500146113536113,0.10634312629699708,0.03855267560308445,squared_error,0.3,5,0.3,20,80,500,"{'criterion': 'squared_error', 'learning_rate': 0.3, 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 20, 'min_samples_split': 80, 'n_estimators': 500}",0.9588235294117647,0.9470588235294117,0.9470588235294117,0.9558823529411765,0.9558823529411765,0.9529411764705882,0.004921529567847539,4,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
143,38.21251740455627,1.8199827951449215,0.14472370147705077,0.04102679761914716,squared_error,0.3,5,0.5,10,80,700,"{'criterion': 'squared_error', 'learning_rate': 0.3, 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 80, 'n_estimators': 700}",0.9558823529411765,0.95,0.9470588235294117,0.9529411764705882,0.9588235294117647,0.9529411764705882,0.004159451654038547,4,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
121,33.342342138290405,1.1495919128804097,0.1262946605682373,0.007677750974702676,squared_error,0.3,5,0.4,15,70,600,"{'criterion': 'squared_error', 'learning_rate': 0.3, 'max_depth': 5, 'max_features': 0.4, 'min_samples_leaf': 15, 'min_samples_split': 70, 'n_estimators': 600}",0.9558823529411765,0.9470588235294117,0.95,0.9558823529411765,0.9529411764705882,0.9523529411764706,0.0034299717028502103,9,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
84,25.732082557678222,1.054305733314802,0.06683015823364258,0.05304425296367644,squared_error,0.3,5,0.3,10,70,500,"{'criterion': 'squared_error', 'learning_rate': 0.3, 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 10, 'min_samples_split': 70, 'n_estimators': 500}",0.961764705882353,0.9470588235294117,0.9382352941176471,0.9558823529411765,0.9588235294117647,0.9523529411764706,0.008605140493134015,9,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
98,33.35576868057251,1.2679407553037272,0.13230128288269044,0.00680183321674466,squared_error,0.3,5,0.3,15,80,700,"{'criterion': 'squared_error', 'learning_rate': 0.3, 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 15, 'min_samples_split': 80, 'n_estimators': 700}",0.961764705882353,0.9441176470588235,0.9470588235294117,0.9529411764705882,0.9558823529411765,0.9523529411764706,0.006280634265900795,9,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
100,29.923692750930787,0.8424946899445893,0.13230223655700685,0.0024835248528027325,squared_error,0.3,5,0.3,20,60,600,"{'criterion': 'squared_error', 'learning_rate': 0.3, 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 20, 'min_samples_split': 60, 'n_estimators': 600}",0.9588235294117647,0.9470588235294117,0.9441176470588235,0.9588235294117647,0.9529411764705882,0.9523529411764706,0.005998846486579773,9,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
108,28.28998465538025,0.5552168020657307,0.13076796531677246,0.0074707200443119666,squared_error,0.3,5,0.4,10,60,500,"{'criterion': 'squared_error', 'learning_rate': 0.3, 'max_depth': 5, 'max_features': 0.4, 'min_samples_leaf': 10, 'min_samples_split': 60, 'n_estimators': 500}",0.961764705882353,0.9441176470588235,0.9411764705882353,0.9529411764705882,0.961764705882353,0.9523529411764706,0.008605140493134013,9,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
134,37.179332447052005,1.379442227310193,0.06338081359863282,0.05533510645537416,squared_error,0.3,5,0.4,20,80,700,"{'criterion': 'squared_error', 'learning_rate': 0.3, 'max_depth': 5, 'max_features': 0.4, 'min_samples_leaf': 20, 'min_samples_split': 80, 'n_estimators': 700}",0.9588235294117647,0.9441176470588235,0.9470588235294117,0.9529411764705882,0.9588235294117647,0.9523529411764706,0.005998846486579773,9,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
116,37.21968011856079,1.5929176808433072,0.08868207931518554,0.058177248900773734,squared_error,0.3,5,0.4,10,80,700,"{'criterion': 'squared_error', 'learning_rate': 0.3, 'max_depth': 5, 'max_features': 0.4, 'min_samples_leaf': 10, 'min_samples_split': 80, 'n_estimators': 700}",0.9647058823529412,0.9441176470588235,0.9470588235294117,0.95,0.9558823529411765,0.9523529411764706,0.007299808027053467,9,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
